deltat LinftyL2u-all L2L2ut-all LinftyL2u-restrict L2L2ut-restrict 
5.000000000000000000e-01 5.240218315716257402e-01 8.976577919150161566e-01 2.770793200334818462e-01 3.770412152192750277e-01
2.500000000000000000e-01 5.048920786335768796e-01 9.704287999827323485e-01 2.152568700629222884e-02 1.174090529025031276e-01
1.250000000000000000e-01 1.025483867912735936e-01 2.707512736548030596e-01 1.297778048158119979e-02 7.800704928173476937e-02
6.250000000000000000e-02 6.206968383684756396e-02 1.968463272366900441e-01 5.096776679353740708e-03 4.484490924021625191e-02
3.125000000000000000e-02 6.444282049591726347e-02 1.860649310698490322e-01 1.853895703342271295e-03 2.428676680088522402e-02
1.562500000000000000e-02 5.937000539191791132e-02 1.701640029488687977e-01 6.638819988014721483e-04 1.339509847429569758e-02
7.812500000000000000e-03 5.452792158294365171e-02 1.574617822330615924e-01 2.501029708069161779e-04 7.583737413276279635e-03
