iter res
1.000000000000000000e+00 9.749962994062697981e+05
2.000000000000000000e+00 1.915232141194814176e+05
3.000000000000000000e+00 1.520145103867629075e+02
4.000000000000000000e+00 3.239234042177009343e+01
5.000000000000000000e+00 2.267528364439511535e+01
6.000000000000000000e+00 1.774797504004187232e+01
7.000000000000000000e+00 6.025987886019879447e+00
8.000000000000000000e+00 5.235211533525338190e+00
9.000000000000000000e+00 2.889458375251091837e+00
1.000000000000000000e+01 2.871702936503946368e+00
1.100000000000000000e+01 1.766459756933337344e+00
1.200000000000000000e+01 1.063360947130527867e+00
1.300000000000000000e+01 7.289642347189757565e-01
1.400000000000000000e+01 3.072075986588235219e-01
1.500000000000000000e+01 1.148739244298906809e-01
1.600000000000000000e+01 6.997061269736574995e-02
1.700000000000000000e+01 5.333932573290781076e-02
1.800000000000000000e+01 4.738918424973073001e-02
1.900000000000000000e+01 3.786892674825359517e-02
2.000000000000000000e+01 2.602732861710265952e-02
2.100000000000000000e+01 1.587267685873338177e-02
2.200000000000000000e+01 6.323029827284746759e-03
2.300000000000000000e+01 4.927301326482378709e-03
2.400000000000000000e+01 4.515777240279829352e-03
2.500000000000000000e+01 3.886457406496088372e-03
2.600000000000000000e+01 2.754585171084384873e-03
2.700000000000000000e+01 1.392089083692014473e-03
2.800000000000000000e+01 1.078958929249811734e-03
2.900000000000000000e+01 7.985818792556314411e-04
3.000000000000000000e+01 5.737107042612049710e-04
3.100000000000000000e+01 1.697443138921070696e-04
3.200000000000000000e+01 1.424092790445503497e-04
3.300000000000000000e+01 1.259606659088759943e-04
3.400000000000000000e+01 6.848558862976945796e-05
3.500000000000000000e+01 3.816223518569334002e-05
3.600000000000000000e+01 7.768799124441513225e-06
3.700000000000000000e+01 7.448887292702246233e-06
3.800000000000000000e+01 1.240053386501427719e-06
3.900000000000000000e+01 8.742997988742626699e-07
4.000000000000000000e+01 5.585648254057075262e-07
4.100000000000000000e+01 1.924976835325266716e-07
4.200000000000000000e+01 7.011480659034869226e-08
