deltat DFB MTM-full MTM-lo
5.000000000000000000e-01 2.765983663776016011e-01 8.106794999110672473e-01 1.998210108607700319e-01
2.500000000000000000e-01 2.740195762376785790e-02 2.706949679140546045e-02 2.817296943681460442e-02
1.250000000000000000e-01 6.659913626753831938e-03 6.658882401366496978e-03 6.745938919029347350e-03
6.250000000000000000e-02 1.653689488714731081e-03 1.635867146472375945e-03 1.638477309794872210e-03
3.125000000000000000e-02 4.127981913553426777e-04 4.035692775481912421e-04 4.043627586881268785e-04
