iter res
1.000000000000000000e+00 2.284994141709978166e+01
2.000000000000000000e+00 3.356936690594012340e+00
3.000000000000000000e+00 1.434643770594003165e+00
4.000000000000000000e+00 3.486978017943039299e-01
5.000000000000000000e+00 2.403292560297351499e-01
6.000000000000000000e+00 1.574587569781383256e-01
7.000000000000000000e+00 5.970127018931455781e-02
8.000000000000000000e+00 2.468671781943564125e-02
9.000000000000000000e+00 8.350915849495295709e-03
1.000000000000000000e+01 2.544673237144706984e-03
1.100000000000000000e+01 8.754416799308086189e-04
1.200000000000000000e+01 7.318381454523444594e-04
1.300000000000000000e+01 4.487972556111887020e-04
1.400000000000000000e+01 4.912509514475303955e-05
1.500000000000000000e+01 1.945471727103929632e-05
1.600000000000000000e+01 1.666285288481385713e-05
1.700000000000000000e+01 6.739400289279632575e-06
1.800000000000000000e+01 1.899080923492901702e-06
1.900000000000000000e+01 8.632374956181531156e-07
2.000000000000000000e+01 3.754037815494932924e-07
2.100000000000000000e+01 2.375693461880720845e-07
2.200000000000000000e+01 5.375757479039812795e-08
