deltat DFB MTM-lo
5.000000000000000000e-01 3.370783849302489976e-01 3.466826549098339649e-01
2.500000000000000000e-01 7.458524579607518634e-02 8.021815893518341456e-02
1.250000000000000000e-01 1.831246297099739864e-02 1.897318675060641682e-02
6.250000000000000000e-02 4.570819887298798942e-03 4.587302240974969712e-03
