N ndof-tot-DFB ndof-inv-DFB ndof-tot-MTM-lo ndof-inv-MTM-lo DFB-iter MTM-lo-iter
1 1500 750 804 804 8 1
2 17496 4374 9248 4624 31 19
4 235824 29478 123744 30936 81 57
8 3449952 215622 1803584 225448 187 211
