iter res
1.000000000000000000e+00 4.567047982044017829e+01
2.000000000000000000e+00 2.658077799852723189e+01
3.000000000000000000e+00 8.921321189493539583e-01
4.000000000000000000e+00 8.618019403253033284e-01
5.000000000000000000e+00 8.087725818631339436e-01
6.000000000000000000e+00 2.091561999757434454e-01
7.000000000000000000e+00 1.457207234670017115e-01
8.000000000000000000e+00 1.337984140551313761e-01
9.000000000000000000e+00 1.204069403936830762e-01
1.000000000000000000e+01 1.077105659595756215e-01
1.100000000000000000e+01 7.550922278742815130e-02
1.200000000000000000e+01 4.404173802250746506e-02
1.300000000000000000e+01 4.015240726396525350e-02
1.400000000000000000e+01 4.014854422190220623e-02
1.500000000000000000e+01 2.696830403025657699e-02
1.600000000000000000e+01 2.679232102145324632e-02
1.700000000000000000e+01 1.985764858261159643e-02
1.800000000000000000e+01 1.241033719913523306e-02
1.900000000000000000e+01 7.916197098411627622e-03
2.000000000000000000e+01 6.262355793622515626e-03
2.100000000000000000e+01 3.935112541627336889e-03
2.200000000000000000e+01 2.566894947332450886e-03
2.300000000000000000e+01 1.747845584067551960e-03
2.400000000000000000e+01 1.589095346901672973e-03
2.500000000000000000e+01 9.789581588859255085e-04
2.600000000000000000e+01 7.769769098488207111e-04
2.700000000000000000e+01 5.502992555959047632e-04
2.800000000000000000e+01 4.774950261112897608e-04
2.900000000000000000e+01 2.781564061208073374e-04
3.000000000000000000e+01 2.054148894942769629e-04
3.100000000000000000e+01 1.491055983077479530e-04
3.200000000000000000e+01 8.478636174683770981e-05
3.300000000000000000e+01 7.306784615881654085e-05
3.400000000000000000e+01 4.952429504101242980e-05
3.500000000000000000e+01 2.283898393500207190e-05
3.600000000000000000e+01 1.582218565724348032e-05
3.700000000000000000e+01 1.486079717263176417e-05
3.800000000000000000e+01 1.021801055153209349e-05
3.900000000000000000e+01 6.569661858209234386e-06
4.000000000000000000e+01 3.017014342292543808e-06
4.100000000000000000e+01 2.452774058531986840e-06
4.200000000000000000e+01 2.058571897710008099e-06
4.300000000000000000e+01 1.907561330750988169e-06
4.400000000000000000e+01 1.880094590039574726e-06
4.500000000000000000e+01 1.096460071178840954e-06
4.600000000000000000e+01 5.658165209727574614e-07
4.700000000000000000e+01 3.278546913812544900e-07
4.800000000000000000e+01 2.862981443136318489e-07
4.900000000000000000e+01 2.508144833387521034e-07
5.000000000000000000e+01 2.456312762453620782e-07
5.100000000000000000e+01 2.453671606893051430e-07
5.200000000000000000e+01 1.304427849272728642e-07
5.300000000000000000e+01 4.594499093583054341e-08
