deltat DFB MTM-full MTM-lo block vanilla
5.000000000000000000e-01 2.420467046208539530e-01 4.172209470223076089e-01 3.103136210822017849e-01 4.172209470223076089e-01 4.172209470222975614e-01
2.500000000000000000e-01 6.465474801655958503e-02 5.432754794124450975e-02 3.269354499781484263e-02 5.432754793817803213e-02 5.432754782212800837e-02
1.250000000000000000e-01 2.364153973449733756e-02 1.921545300535209416e-02 8.348110705838561810e-03 1.921544810073328585e-02 1.921543862577199460e-02
6.250000000000000000e-02 7.101734187845142390e-03 7.500090107281811962e-03 2.220881414453629906e-03 7.499957406498392910e-03 7.500100294649893022e-03
3.125000000000000000e-02 1.928374541429403758e-03 2.992574265428916708e-03 5.558934667652383433e-04 2.992057031385017638e-03 2.992814452001451350e-03
1.562500000000000000e-02 5.310426992116063817e-04 1.170979311688709942e-03 1.352280206750140149e-04 1.246130901423930515e-01 2.059117718043187162e-01
