deltat DFB MTM-lo
5.000000000000000000e-01 9.189497935492861869e-01 8.592939663223490010e-01
2.500000000000000000e-01 6.835571601594623292e-01 4.475304551606957282e-01
1.250000000000000000e-01 5.401233113443290046e-01 3.277884731584445599e-01
6.250000000000000000e-02 4.245354147245168352e-01 2.633813308459432845e-01
3.125000000000000000e-02 3.406163450858200603e-01 2.391310341338113987e-01
