deltat DFB MTM-lo
5.000000000000000000e-01 8.230508503637703685e-03 1.195732977439989408e-02
2.500000000000000000e-01 7.187233843625675947e-04 9.542778684822569336e-04
1.250000000000000000e-01 5.475242617992930576e-05 6.725569826945528365e-05
