iter res
8.200000000000000000e+01 7.063187693183958489e-05
8.300000000000000000e+01 6.494270869330132524e-05
8.400000000000000000e+01 5.641291835340911425e-05
8.500000000000000000e+01 5.087937538281521682e-05
8.600000000000000000e+01 4.732760446658861562e-05
8.700000000000000000e+01 4.439518618765076412e-05
8.800000000000000000e+01 4.086352876984344050e-05
8.900000000000000000e+01 3.771230586436798653e-05
9.000000000000000000e+01 3.620996121951049977e-05
9.100000000000000000e+01 3.366468971553252519e-05
9.200000000000000000e+01 3.089823771218831369e-05
9.300000000000000000e+01 2.652831703728178716e-05
9.400000000000000000e+01 2.468273692254394753e-05
9.500000000000000000e+01 2.228042585673136545e-05
9.600000000000000000e+01 2.017940687167993062e-05
9.700000000000000000e+01 1.848584551056452652e-05
9.800000000000000000e+01 1.550417367230439816e-05
9.900000000000000000e+01 1.384447800406102069e-05
1.000000000000000000e+02 1.267259059055141207e-05
1.010000000000000000e+02 1.163986547403826985e-05
1.020000000000000000e+02 9.741810965166155167e-06
1.030000000000000000e+02 8.169215326424841627e-06
1.040000000000000000e+02 6.832275647102727379e-06
1.050000000000000000e+02 5.624634851075831269e-06
1.060000000000000000e+02 4.652083004290135541e-06
1.070000000000000000e+02 3.894345359400877858e-06
1.080000000000000000e+02 3.176613062766846831e-06
1.090000000000000000e+02 2.752971567110358686e-06
1.100000000000000000e+02 2.293182431962304630e-06
1.110000000000000000e+02 1.893380928445483012e-06
1.120000000000000000e+02 1.753787095545090405e-06
1.130000000000000000e+02 1.738914406340141267e-06
1.140000000000000000e+02 1.596917705635400146e-06
1.150000000000000000e+02 1.381938560769694567e-06
1.160000000000000000e+02 1.236106254030339171e-06
1.170000000000000000e+02 1.145803473116928983e-06
1.180000000000000000e+02 1.008108074767716564e-06
1.190000000000000000e+02 9.478243612837678066e-07
1.200000000000000000e+02 9.242161797516509060e-07
1.210000000000000000e+02 8.812538042278643183e-07
1.220000000000000000e+02 7.713283572750256501e-07
1.230000000000000000e+02 6.816192087771870048e-07
1.240000000000000000e+02 6.621719742119488921e-07
1.250000000000000000e+02 6.480035824800566137e-07
1.260000000000000000e+02 6.087173477924008296e-07
1.270000000000000000e+02 5.162440967360120256e-07
1.280000000000000000e+02 4.271350104960950768e-07
1.290000000000000000e+02 4.005587604497270445e-07
1.300000000000000000e+02 3.366825558409232176e-07
1.310000000000000000e+02 2.336696775663164283e-07
1.320000000000000000e+02 1.651676815224545487e-07
1.330000000000000000e+02 1.355426030268768060e-07
1.340000000000000000e+02 1.034447373612159659e-07
1.350000000000000000e+02 6.915352566040695471e-08
