deltat DFB MTM-lo
5.000000000000000000e-01 1.059423356280047440e-01 1.315011609685822966e-02
2.500000000000000000e-01 2.723408220202571881e-02 2.863079089594544602e-03
1.250000000000000000e-01 1.025146129847013046e-02 6.853653807071379694e-04
