deltat DFB MTM-full MTM-lo block vanilla
5.000000000000000000e-01 7.055224351548471384e-01 7.741039273639467311e-01 5.790458557868806144e-01 7.741039273639467311e-01 7.741039273639244156e-01
2.500000000000000000e-01 2.626310031887049701e-01 2.807116839864566282e-01 2.600114307953799164e-01 2.807116839818798448e-01 2.807116837896673212e-01
1.250000000000000000e-01 1.039467754137379379e-01 1.387101237892511829e-01 1.282894176234120331e-01 1.387101157203315949e-01 1.387101356799823049e-01
6.250000000000000000e-02 3.959380766272307256e-02 6.810852515222316772e-02 6.333126782524471643e-02 6.810839116977090990e-02 6.810857938490859353e-02
3.125000000000000000e-02 1.574764208299971047e-02 3.344683861749749021e-02 3.152571283640565047e-02 3.344618969052242513e-02 3.344665005052890883e-02
1.562500000000000000e-02 6.717031653914806895e-03 1.647592082733044180e-02 1.574372811966793378e-02 3.925210362728233648e-01 6.282662577875486321e-01
