N ndof-tot-DFB ndof-inv-DFB ndof-tot-MTM-lo ndof-inv-MTM-lo DFB-iter MTM-lo-iter
1 5488 2744 2798 2798 14 2
2 70304 17576 35652 17826 55 19
4 1000000 125000 505832 126458 148 108
