deltat DFB MTM-lo
5.000000000000000000e-01 3.024440382025307961e-01 2.857751963095943593e-01
2.500000000000000000e-01 2.204065545946193860e-01 1.225075280199249828e-01
1.250000000000000000e-01 1.749305428945986673e-01 9.291724917038185483e-02
6.250000000000000000e-02 1.346842063610687590e-01 7.678680067605203607e-02
3.125000000000000000e-02 1.052606951226813248e-01 7.036969775889305445e-02
