deltat DFB MTM-full MTM-lo
5.000000000000000000e-01 1.309973356348891893e-01 4.333406885133880282e-01 1.100446099901137703e-01
2.500000000000000000e-01 3.771087106747701180e-03 4.520243868112095408e-03 6.057755178586840365e-03
1.250000000000000000e-01 5.057507716625013819e-04 7.400886723187453465e-04 8.935042314341648442e-04
6.250000000000000000e-02 6.811267649999508888e-05 8.483838888533544974e-05 1.240490020190815887e-04
3.125000000000000000e-02 8.608054004407053776e-06 1.001336841783939506e-05 1.982000899155385629e-05
