deltat LinftyL2u-all L2L2ut-all LinftyL2u-restrict L2L2ut-restrict 
5.000000000000000000e-01 3.653887387085286848e-02 1.148778927281975948e-01 1.113498421091504206e-03 8.635723906710508421e-03
2.500000000000000000e-01 1.386949062333360646e-03 5.218041711713214924e-03 1.952316423774108146e-04 1.047001968682872292e-03
1.250000000000000000e-01 3.710108182593777493e-04 1.143812294306432650e-03 1.105538161818298207e-05 1.255931274881449478e-04
6.250000000000000000e-02 2.882643858665898096e-04 9.079667096114058368e-04 5.976912782560990658e-07 1.508863460936036034e-05
3.125000000000000000e-02 2.163623138205973022e-04 6.972702505674703609e-04 3.000963958668763281e-08 1.855598292417707327e-06
