deltat DFB MTM-lo
5.000000000000000000e-01 4.678860697114627792e-02 7.309841021980030551e-02
2.500000000000000000e-01 7.793618095998056279e-03 8.325276668884138559e-03
1.250000000000000000e-01 1.028722691479556049e-03 1.028782747656510274e-03
