deltat LinftyL2u-all L2L2ut-all LinftyL2u-restrict L2L2ut-restrict 
5.000000000000000000e-01 1.045675999821665814e-01 3.301662920682162938e-01 7.653514107570731119e-03 5.045872787126346598e-02
2.500000000000000000e-01 2.431138765931689302e-02 9.075087008631423091e-02 2.086352795727330900e-03 1.417203300126106125e-02
1.250000000000000000e-01 7.645220722067518938e-03 2.379735875660891550e-02 3.913033902981573635e-04 3.618667935411160747e-03
6.250000000000000000e-02 6.253098768423497045e-03 1.892957178956850006e-02 4.080528887035005087e-05 9.247537205666367952e-04
3.125000000000000000e-02 5.319034474768820006e-03 1.620549860954841395e-02 4.493231190401670948e-06 2.426390951761194870e-04
1.562500000000000000e-02 4.676818568611833954e-03 1.439380466965905526e-02 6.914434097246200445e-07 6.746775296932692729e-05
