deltat DFB MTM-lo
5.000000000000000000e-01 6.574624632245210654e-01 3.304630018416740977e-01
2.500000000000000000e-01 3.142134814122630737e-01 1.000411133437986849e-01
1.250000000000000000e-01 1.671951343122964895e-01 2.896361915092874814e-02
6.250000000000000000e-02 9.571324089158016191e-02 1.970733003647456849e-02
